,bib,clock,desc,entityId,eventId,eventSubType,eventType,name,periodId,personId,personImage,scores,success,x,y,successString,TEAM_NAME,TEAM_ROSTER_ID,TEAM_CODE,TEAM_HOME
0,0,PT10M0S,Hava Atışı - Kaybedilen,f0e56238-3ab7-11ee-be3e-4d20a0dfde1c,f0e20060-e843-11ee-8950-3b311b0e4ebd,lost,jumpBall,EYÜP CAN ÖNCÜ,1,b9bcdbad-3f42-11ed-95c2-e75cdb0b18cf,https://images.dc.prod.cloud.atriumsports.com/b179b/7eea480ef7be497db55c33e6ad730945,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",,,,,BORDO SPORTİF RS,BOR_ROSTER,BOR,False
1,99,PT10M0S,Hava Atışı - Kazanılan,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,f0e1b241-e843-11ee-8950-3b311b0e4ebd,won,jumpBall,MURAT KAĞAN TOR,1,4ef58e1d-3e44-11ed-a7a3-cb34728f28eb,https://images.dc.prod.cloud.atriumsports.com/b179b/ce7a970cffed4af9945ce5226ef0759e,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",,,,,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
2,23,PT9M34S,3 Sayı Jump Shot,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,ff4244d1-e843-11ee-8950-3b311b0e4ebd,jumpShot,3pt,BARTU KOÇBUĞ,1,9c580263-7a14-11ee-8635-bb6b36365cf9,,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",False,30.21,23.02,missed,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
3,11,PT9M34S,Hücum Ribaundu,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,019c6170-e844-11ee-8950-3b311b0e4ebd,offensive,rebound,EMRE GİRGİN,1,d8515083-610c-11ed-96c9-4f3a05fa907d,,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",,,,,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
4,99,PT9M22S,2 Sayı Jump Shot,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,06934901-e844-11ee-8950-3b311b0e4ebd,jumpShot,2pt,MURAT KAĞAN TOR,1,4ef58e1d-3e44-11ed-a7a3-cb34728f28eb,https://images.dc.prod.cloud.atriumsports.com/b179b/ce7a970cffed4af9945ce5226ef0759e,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",False,9.47,85.32,missed,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
5,,PT9M22S,Hücum Ribaundu,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,0a9bd8f0-e844-11ee-8950-3b311b0e4ebd,offensive,rebound,,1,,,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",,,,,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
6,99,PT9M17S,2 Sayı Floating Jump Shot,e6e4313b-3ab7-11ee-9ad0-89efd7bdb190,12767f80-e844-11ee-8950-3b311b0e4ebd,floatingJumpShot,2pt,MURAT KAĞAN TOR,1,4ef58e1d-3e44-11ed-a7a3-cb34728f28eb,https://images.dc.prod.cloud.atriumsports.com/b179b/ce7a970cffed4af9945ce5226ef0759e,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",False,15.0,52.38,missed,EGE ÜNİVERSİTESİ DAÇKA,EGE_ROSTER,EGE,True
7,0,PT9M17S,Savunma Ribaundu,f0e56238-3ab7-11ee-be3e-4d20a0dfde1c,1500d3e0-e844-11ee-8950-3b311b0e4ebd,defensive,rebound,EYÜP CAN ÖNCÜ,1,b9bcdbad-3f42-11ed-95c2-e75cdb0b18cf,https://images.dc.prod.cloud.atriumsports.com/b179b/7eea480ef7be497db55c33e6ad730945,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 0}",,,,,BORDO SPORTİF RS,BOR_ROSTER,BOR,False
8,27,PT9M0S,2 Sayı Layup,f0e56238-3ab7-11ee-be3e-4d20a0dfde1c,1cd3b241-e844-11ee-8950-3b311b0e4ebd,layup,2pt,YAĞIZHAN SELÇUK,1,7edbcc13-55c9-11ed-bfe8-83a6dbb84120,,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 2}",True,93.4,50.6,made,BORDO SPORTİF RS,BOR_ROSTER,BOR,False
9,1,PT9M0S,Asist,f0e56238-3ab7-11ee-be3e-4d20a0dfde1c,1f7fbf70-e844-11ee-8950-3b311b0e4ebd,,assist,BERKAY BÜYÜKBAYRAK,1,197367ce-60fc-11ed-a5ce-89ceda2430a2,,"{'e6e4313b-3ab7-11ee-9ad0-89efd7bdb190': 0, 'f0e56238-3ab7-11ee-be3e-4d20a0dfde1c': 2}",,,,,BORDO SPORTİF RS,BOR_ROSTER,BOR,False
